ISO2,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_source,Budget_distribution_scenario,Years_to_neutrality,Neutrality_year,Latest_year,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_cumulative_population,Share_of_cumulative_population,Population_2050,Share_of_total_population_2050,Global_Carbon_budget,Country_carbon_budget,scenario_id
AW,Aruba,Latin America and Caribbean,Territory,2°C,50%,Foster,Equality,28,2051,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,1150000,11.994710537945952,28
AW,Aruba,Latin America and Caribbean,Territory,2°C,50%,Foster,Responsibility,-99,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,1150000,-42.86523781598338,29
AW,Aruba,Latin America and Caribbean,Territory,2°C,50%,Foster,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,1150000,,30
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Lamboll,Equality,23,2046,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,944000,9.846092824192155,31
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Lamboll,Responsibility,-104,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,944000,-45.12715941129356,32
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Lamboll,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,944000,,33
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Foster,Equality,23,2046,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,950000,9.908673922651005,34
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Foster,Responsibility,-104,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,950000,-45.06127819977968,35
AW,Aruba,Latin America and Caribbean,Territory,2°C,67%,Foster,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,950000,,36
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Lamboll,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,480000,5.006487876707876,37
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Lamboll,Responsibility,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,480000,,38
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Lamboll,Current_target,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,480000,,39
AW,Aruba,Latin America and Caribbean,Consumption,1.5°C,33%,Foster,Equality,N/A,N/A,,,,,,100002.0,1.0430183076474741e-05,300000,3.1290549229424225,40
